1721802790229636864,0.27657,0.23096,0.12307,,,1721802790229636864,0.000000,0.000000,0.000000,0.70129,-0.71272,0.01071,0.01076
1721802790296353792,0.28504,0.23205,0.12628,,,1721802790296353792,0.008470,0.001090,0.003210,0.70128,-0.71272,0.01072,0.01070
1721802790363278848,0.28653,0.22585,0.12833,,,1721802790363278848,0.009960,-0.005110,0.005260,0.70128,-0.71272,0.01073,0.01062
1721802790430766592,0.29132,0.22176,0.12027,,,1721802790430766592,0.014750,-0.009200,-0.002800,0.70134,-0.71266,0.01072,0.01070
1721802790498264320,0.2934,0.23275,0.12494,,,1721802790498264320,0.016830,0.001790,0.001870,0.70151,-0.71250,0.01058,0.01079
1721802790565771776,0.28747,0.23672,0.12009,,,1721802790565771776,0.010900,0.005760,-0.002980,0.70147,-0.71254,0.01065,0.01065
1721802790633289216,0.29141,0.23152,0.12953,,,1721802790633289216,0.014840,0.000560,0.006460,0.70144,-0.71257,0.01065,0.01066
1721802790700816384,0.28547,0.22988,0.12295,,,1721802790700816384,0.008900,-0.001080,-0.000120,0.70143,-0.71258,0.01064,0.01067
1721802790835900160,0.28539,0.22577,0.12196,,,1721802790835900160,0.008820,-0.005190,-0.001110,0.70141,-0.71260,0.01065,0.01067
1721802790971023360,0.28335,0.23122,0.12304,,,1721802790971023360,0.006780,0.000260,-0.000030,0.70141,-0.71260,0.01065,0.01067
1721802791038599424,0.29251,0.22887,0.12727,,,1721802791038599424,0.015940,-0.002090,0.004200,0.70141,-0.71260,0.01065,0.01064
1721802791106185728,0.29139,0.21993,0.12431,,,1721802791106185728,0.014820,-0.011030,0.001240,0.70140,-0.71261,0.01064,0.01063
1721802791173781760,0.2902,0.2243,0.12883,,,1721802791173781760,0.013630,-0.006660,0.005760,0.70141,-0.71260,0.01065,0.01064
1721802791241387264,0.28849,0.23457,0.12294,,,1721802791241387264,0.011920,0.003610,-0.000130,0.70141,-0.71260,0.01065,0.01068
1721802791309003008,0.28707,0.23219,0.12062,,,1721802791309003008,0.010500,0.001230,-0.002450,0.70141,-0.71260,0.01066,0.01067
1721802791376288256,0.28669,0.23374,0.12021,,,1721802791376288256,0.010120,0.002780,-0.002860,0.70142,-0.71259,0.01067,0.01068
1721802791442929920,0.28643,0.22303,0.12191,,,1721802791442929920,0.009860,-0.007930,-0.001160,0.70142,-0.71259,0.01067,0.01067
1721802791509570816,0.28743,0.22248,0.12135,,,1721802791509570816,0.010860,-0.008480,-0.001720,0.70141,-0.71260,0.01066,0.01067
1721802791576210176,0.29858,0.23673,0.12976,,,1721802791576210176,0.022010,0.005770,0.006690,0.70138,-0.71262,0.01066,0.01065
1721802791642848512,0.28129,0.22956,0.12745,,,1721802791642848512,0.004720,-0.001400,0.004380,0.70138,-0.71263,0.01064,0.01068
1721802791709485056,0.28027,0.22814,0.12379,,,1721802791709485056,0.003700,-0.002820,0.000720,0.70140,-0.71261,0.01064,0.01066
1721802791776120832,0.28792,0.22849,0.12387,,,1721802791776120832,0.011350,-0.002470,0.000800,0.70139,-0.71262,0.01065,0.01068
1721802791842755072,0.30192,0.22679,0.12158,,,1721802791842755072,0.025350,-0.004170,-0.001490,0.70138,-0.71263,0.01065,0.01066
1721802791909388032,0.28438,0.22759,0.12792,,,1721802791909388032,0.007810,-0.003370,0.004850,0.70138,-0.71263,0.01064,0.01068
